date,time,total irradiance,Direct irradiance,Thermometer shelters,Relative humidity of ground shelters,temperature,power
2018-7-1,0:00,0,0,24.57,46.41,21.299999,0
2018-7-1,0:15,0,0,24.47,46.43,21.200001,0
2018-7-1,0:30,0,0,24.4,46.35,20.9,0
2018-7-1,0:45,0,0,24.32,46.29,21,0
2018-7-1,1:00,0,0,24.28,46.12,21.1,0
2018-7-1,1:15,0,0,24.26,45.91,20.799999,0
2018-7-1,1:30,0,0,24.26,45.65,20.700001,0
2018-7-1,1:45,0,0,24.23,45.5,20.799999,0
2018-7-1,2:00,0,0,24.16,45.52,20.6,0
2018-7-1,2:15,0,0,24.03,45.71,20.5,0
2018-7-1,2:30,0,0,23.86,46.05,20.5,0
2018-7-1,2:45,0,0,23.66,46.5,20.5,0
2018-7-1,3:00,0,0,23.44,46.99,20.5,0
2018-7-1,3:15,0,0,23.17,47.65,20.5,0
2018-7-1,3:30,0,0,22.82,48.56,20.4,0
2018-7-1,3:45,0,0,22.47,49.52,20.6,0
2018-7-1,4:00,0,0,22.08,50.7,20.5,0
2018-7-1,4:15,0,0,21.75,51.77,20.6,0
2018-7-1,4:30,0,0,21.5,52.55,20.5,0
2018-7-1,4:45,0,0,21.32,53.17,20.6,0
2018-7-1,5:00,0,0,21.15,53.74,20.4,0
2018-7-1,5:15,12.11,5.44,21.09,54.14,20.1,0.01776
2018-7-1,5:30,34.25,21.06,21.22,54.2,20.1,0.097679
2018-7-1,5:45,75.35,55.03,21.69,53.45,20.200001,0.204237
2018-7-1,6:00,105.83,81.88,22.22,52.46,20.5,0.346315
2018-7-1,6:15,154.33,126.01,22.94,51.29,21,0.523912
2018-7-1,6:30,187.93,157.19,23.78,50.03,21.9,0.737029
2018-7-1,6:45,239.55,205.69,24.65,46.76,22.5,0.994545
2018-7-1,7:00,274.48,238.81,25.27,44.98,23,1.296461
2018-7-1,7:15,327.17,289.11,25.81,43.1,23.6,1.625016
2018-7-1,7:30,362.24,322.76,26.29,41.86,24.1,1.971331
2018-7-1,7:45,414.37,372.95,26.75,40.82,24.9,2.344285
2018-7-1,8:00,448.55,405.97,27.13,40.19,26.200001,2.752759
2018-7-1,8:15,498.69,454.5,27.5,39.88,25.5,3.143473
2018-7-1,8:30,531.17,486.01,27.84,39.4,26.200001,3.534188
2018-7-1,8:45,578.24,531.74,28.12,39.27,26.4,3.933782
2018-7-1,9:00,608.39,561.07,28.35,39.5,26.799999,4.315616
2018-7-1,9:15,651.5,603.06,28.61,39.57,26.9,4.564252
2018-7-1,9:30,678.72,629.6,28.88,39.45,27.700001,4.848408
2018-7-1,9:45,717.04,667,29.17,39.01,28,5.105924
2018-7-1,10:00,740.69,690.1,29.5,38.41,28,5.345681
2018-7-1,10:15,773.14,721.8,29.86,37.61,28.4,5.523278
2018-7-1,10:30,792.7,740.91,30.21,36.33,28.9,5.612077
2018-7-1,10:45,818.73,766.35,30.49,35.61,28.9,5.887352
2018-7-1,11:00,833.88,781.16,30.76,35.2,29.4,5.940632
2018-7-1,11:15,853.24,800.1,31.05,34.75,29.700001,6.109349
2018-7-1,11:30,863.87,810.5,31.35,34.17,29.700001,6.153749
2018-7-1,11:45,876.38,822.75,31.66,33.34,30.4,6.366866
2018-7-1,12:00,882.32,828.57,31.96,31.94,30.5,6.411265
2018-7-1,12:15,887.41,833.55,32.23,30.79,31,6.224788
2018-7-1,12:30,888.21,834.34,32.48,30.12,31.200001,6.357985
2018-7-1,12:45,885.58,831.77,32.74,29.16,31.200001,4.812889
2018-7-1,13:00,881.38,827.68,32.93,28.64,31.4,5.771914
2018-7-1,13:15,871.19,817.71,33.1,28.4,31.200001,6.127109
2018-7-1,13:30,861.75,808.48,33.29,28.16,31.6,5.629837
2018-7-1,13:45,843.89,791.01,33.48,27.66,31.700001,5.940632
2018-7-1,14:00,829.66,777.09,33.67,27.02,31.799999,6.08271
2018-7-1,14:15,805.06,753.04,33.79,26.78,31.9,4.990486
2018-7-1,14:30,786.5,734.91,33.91,26.64,32.299999,3.596347
2018-7-1,14:45,755.65,704.76,34.01,26.51,31.700001,3.916022
2018-7-1,15:00,733.13,682.77,34.11,26.39,32.299999,4.564252
2018-7-1,15:15,696.47,647,34.18,26.32,31.9,4.670811
2018-7-1,15:30,670.23,621.41,34.25,26.29,32.299999,4.537612
2018-7-1,15:45,628.55,580.81,34.28,26.28,32.799999,4.351135
2018-7-1,16:00,599.35,552.38,34.31,26.19,32.200001,2.67284
2018-7-1,16:15,553.55,507.85,34.3,26.1,32.400002,1.758214
2018-7-1,16:30,521.77,477,34.29,26.01,32.400002,2.264366
2018-7-1,16:45,472.46,429.21,34.25,26.01,32.400002,1.642776
2018-7-1,17:00,438.64,396.5,34.23,26.01,31.799999,1.314221
2018-7-1,17:15,386.82,346.5,34.15,26.05,32,1.216542
2018-7-1,17:30,351.56,312.6,34.08,26.15,31.5,1.278701
2018-7-1,17:45,297.98,261.35,33.94,26.49,31.5,0.887987
2018-7-1,18:00,261.45,226.67,33.82,26.88,31.4,0.959026
2018-7-1,18:15,207.88,176.18,33.64,27.36,31.299999,0.63935
2018-7-1,18:30,173.05,143.72,33.47,27.91,31.1,0.461753
2018-7-1,18:45,124.43,98.95,33.19,28.76,30.9,0.372954
2018-7-1,19:00,94.21,71.69,32.82,29.91,30.799999,0.239756
