date,time,total irradiance,Direct irradiance,Thermometer shelters,Relative humidity of ground shelters,Total measured radiation,temperature,power
2018/7/1,0:00,0,0,26.17,49.85,0,25.299999,0
2018/7/1,0:15,0,0,25.95,50.84,0,25.1,0
2018/7/1,0:30,0,0,25.74,51.77,0,25.1,0
2018/7/1,0:45,0,0,25.53,52.67,0,24.700001,0
2018/7/1,1:00,0,0,25.34,53.53,0,24.6,0
2018/7/1,1:15,0,0,25.18,54.25,0,24.5,0
2018/7/1,1:30,0,0,25.04,54.9,0,24.700001,0
2018/7/1,1:45,0,0,24.87,55.59,0,24.5,0
2018/7/1,2:00,0,0,24.72,56.23,0,24.1,0
2018/7/1,2:15,0,0,24.58,56.85,0,24.1,0
2018/7/1,2:30,0,0,24.45,57.45,0,23.4,0
2018/7/1,2:45,0,0,24.3,58.09,0,23.700001,0
2018/7/1,3:00,0,0,24.17,58.73,0,24.200001,0
2018/7/1,3:15,0,0,24.03,59.35,0,23.6,0
2018/7/1,3:30,0,0,23.86,60.09,0,23.299999,0
2018/7/1,3:45,0,0,23.6,61.09,0,23.5,0
2018/7/1,4:00,0,0,23.29,62.28,0,23.799999,0
2018/7/1,4:15,0,0,22.98,63.46,0,23.700001,0
2018/7/1,4:30,0,0,22.7,64.58,0,23.200001,0
2018/7/1,4:45,0,0,22.45,65.55,0,23.1,0
2018/7/1,5:00,0,0,22.23,66.41,0,22.299999,0
2018/7/1,5:15,7.02,2.42,22.09,67.06,4,22.799999,0
2018/7/1,5:30,27.96,16.02,22.11,67.3,14,22.700001,0
2018/7/1,5:45,69.01,49.04,22.45,65.96,29,22.9,0.319675
2018/7/1,6:00,99.97,75.97,22.77,65.11,47,23.299999,0.618039
2018/7/1,6:15,149.56,120.71,23.36,63.53,67.999992,23.4,0.916402
2018/7/1,6:30,183.99,152.47,24.15,61.41,91.999992,23.700001,1.427882
2018/7/1,6:45,236.91,201.95,24.91,57.95,118,24.6,1.896739
2018/7/1,7:00,272.68,235.71,25.52,56.29,149,25.4,2.386908
2018/7/1,7:15,326.5,286.87,26.24,52.83,187,25.9,2.983635
2018/7/1,7:30,362.26,321.05,26.78,50.88,229,26.4,3.708232
2018/7/1,7:45,415.4,372.03,27.41,49.3,287,26.299999,4.45414
2018/7/1,8:00,450.29,405.61,28.08,46.9,343,27,5.327919
2018/7/1,8:15,501.56,455.08,28.68,44.11,392,27.4,6.052516
2018/7/1,8:30,534.86,487.28,29.23,42.76,455,28,7.032853
2018/7/1,8:45,583.14,534.05,29.83,41.27,511,28.5,7.970567
2018/7/1,9:00,614.06,564.04,30.4,39.18,558.999878,28.9,8.865657
2018/7/1,9:15,658.2,606.91,30.9,37.83,588.999878,29.4,9.590254
2018/7/1,9:30,685.97,633.92,31.39,36.8,638.999878,29.9,10.48534
2018/7/1,9:45,724.95,671.85,31.9,35.19,688.999878,30.4,11.42306
2018/7/1,10:00,749.01,695.27,32.28,34.27,725.999878,30.5,11.80667
2018/7/1,10:15,782,727.42,32.7,33.1,787.999878,30.9,12.53127
2018/7/1,10:30,801.88,746.79,33.06,32.24,817.999878,31.799999,13.06406
2018/7/1,10:45,828.36,772.59,33.42,31.07,843.999878,32,13.42636
2018/7/1,11:00,843.76,787.61,33.76,29.81,869.999878,32.599998,13.42636
2018/7/1,11:15,863.07,806.45,34.1,28.78,949.999878,32.599998,14.00177
2018/7/1,11:30,873.39,816.52,34.44,27.64,990.999878,32.5,14.30013
2018/7/1,11:45,885.24,828.07,34.73,26.81,954.999878,32.5,13.85259
2018/7/1,12:00,890.5,833.21,34.98,26.35,862.999878,33.200001,13.27717
2018/7/1,12:15,894.55,837.17,35.21,26,945.999878,32.900002,13.85259
2018/7/1,12:30,894.7,837.32,35.44,25.37,934.999878,33.5,13.85259
2018/7/1,12:45,891.14,833.85,35.62,24.79,1008,33.599998,14.15095
2018/7/1,13:00,886.21,829.05,35.76,24.45,972.999878,33.599998,13.85259
2018/7/1,13:15,874.67,817.79,35.87,24.45,985.999878,33.799999,13.70341
2018/7/1,13:30,864.43,807.8,35.95,24.62,947.999878,33.799999,13.53291
2018/7/1,13:45,845.39,789.23,36,24.9,885.999878,33.700001,13.25586
2018/7/1,14:00,830.32,774.53,36.07,25.13,832.999878,35,12.63782
2018/7/1,14:15,804.37,749.24,36.11,25.31,792.999878,34,11.95585
2018/7/1,14:30,784.94,730.31,36.17,25.37,790.999878,34.099998,12.9575
2018/7/1,14:45,752.69,698.9,36.21,25.37,704.999878,33.700001,11.20994
2018/7/1,15:00,729.27,676.1,36.25,25.3,658.999878,34,10.18698
2018/7/1,15:15,691.33,639.19,36.26,25.23,284,34.200001,4.965621
2018/7/1,15:30,664.15,612.79,36.26,25.17,590.999878,33.5,9.995176
2018/7/1,15:45,620.95,570.84,36.22,25.21,619.999878,33.799999,9.377137
2018/7/1,16:00,590.59,541.39,36.17,25.29,510,33.700001,8.055814
2018/7/1,16:15,542.84,495.14,36.08,25.53,464,33.5,7.182034
2018/7/1,16:30,509.72,463.1,35.99,25.86,429,33.299999,7.182034
2018/7/1,16:45,458.47,413.62,35.85,26.29,264,33.5,4.241024
2018/7/1,17:00,423.51,379.93,35.73,26.68,244,33.299999,4.006595
2018/7/1,17:15,370.31,328.85,35.56,27.07,216,33,3.55905
2018/7/1,17:30,334.52,294.62,35.4,27.38,266,32.900002,4.390205
2018/7/1,17:45,280.72,243.4,35.2,27.69,170,32.900002,2.770518
2018/7/1,18:00,245.01,209.62,35.03,27.82,152,32.900002,2.322973
2018/7/1,18:15,192.2,160.13,34.81,27.77,93.999992,32.5,1.449194
2018/7/1,18:30,157.76,128.27,34.61,27.57,65.999992,31.9,0.980337
2018/7/1,18:45,107.91,83.05,34.3,27.79,51,31.5,0.831155
2018/7/1,19:00,76.54,55.52,33.91,28.38,26,31,0.38361
2018/7/1,19:15,34.27,20.78,33.33,29.37,16,30.799999,0.25574
2018/7/1,19:30,11.57,4.98,32.66,30.47,1,30.4,0.021312
2018/7/1,19:45,0,0,31.94,31.6,0,29.5,0
2018/7/1,20:00,0,0,31.33,32.57,0,29.200001,0
2018/7/1,20:15,0,0,30.83,33.15,0,28.700001,0
2018/7/1,20:30,0,0,30.48,35.23,0,28.299999,0
2018/7/1,20:45,0,0,30.08,43.24,0,27.9,0
2018/7/1,21:00,0,0,29.69,52.83,0,27.9,0
2018/7/1,21:15,0,0,29.5,58.37,0,27.9,0
2018/7/1,21:30,0,0,29.35,60.19,0,28.1,0
2018/7/1,21:45,0,0,29.17,61.02,0,27.299999,0
2018/7/1,22:00,0,0,28.98,62.02,0,27.4,0
2018/7/1,22:15,0,0,28.82,63.32,0,27.799999,0
2018/7/1,22:30,0,0,28.65,64.73,0,27.299999,0
2018/7/1,22:45,0,0,28.47,65.97,0,27.1,0
2018/7/1,23:00,0,0,28.26,67.14,0,26.9,0
2018/7/1,23:15,0,0,28.02,68.39,0,26.6,0
2018/7/1,23:30,0,0,27.77,69.69,0,26.700001,0
2018/7/1,23:45,0,0,27.5,71.01,0,26.6,0
2018/7/2,0:00,0,0,26.16,50.37,0,26.4,0
2018/7/2,0:15,0,0,25.98,50.79,0,26.200001,0
2018/7/2,0:30,0,0,25.76,51.33,0,25.700001,0
2018/7/2,0:45,0,0,25.58,51.71,0,25.299999,0
2018/7/2,1:00,0,0,25.3,52.41,0,24.9,0
2018/7/2,1:15,0,0,25.04,52.85,0,25.200001,0
2018/7/2,1:30,0,0,24.81,52.76,0,25.4,0
2018/7/2,1:45,0,0,24.73,52.19,0,25.299999,0
2018/7/2,2:00,0,0,24.62,52.12,0,25.200001,0
2018/7/2,2:15,0,0,24.54,52.8,0,25.1,0
2018/7/2,2:30,0,0,24.39,54.53,0,25,0
2018/7/2,2:45,0,0,24.25,56.95,0,24.700001,0
2018/7/2,3:00,0,0,24.14,59.83,0,24.9,0
2018/7/2,3:15,0,0,23.99,63.26,0,24.799999,0
2018/7/2,3:30,0,0,23.87,66.81,0,24.799999,0
2018/7/2,3:45,0,0,23.76,70.35,0,24.700001,0
2018/7/2,4:00,0,0,23.64,73.74,0,25,0
